순번,하수처리시설명,수질등록일자,날씨,기온(℃),수온,유입수BOD(mg/L),유입수COD(mg/L),유입수SS(mg/L),유입수TN(mg/L),유입수TP(mg/L),유입수대장균수(개/ml),유입량(m3/d),방류수BOD(mg/L),방류수COD(mg/L),방류수SS(mg/L),방류수TN(mg/L),방류수TP(mg/L),방류수대장균수(개/ml),방류량(m3/d)
364,능곡하수처리시설,2019-01-01,맑음,-4.4,13.2,432.0,124.4,192.5,110.451,9.657,"13,200","4,380",3.9,9.2,2.0,1.847,0.397,150,"3,866"
363,능곡하수처리시설,2019-01-02,맑음,-3.9,13.7,491.4,129.2,270.0,84.284,8.716,"13,200","4,676",6.8,9.6,4.3,1.709,0.499,480,"3,862"
362,능곡하수처리시설,2019-01-03,맑음,-2.6,14.4,256.2,146.2,252.5,38.448,4.141,"9,900","4,728",3.2,11.2,3.3,2.750,0.171,130,"4,214"
361,능곡하수처리시설,2019-01-04,눈,-0.3,14.4,259.2,130.0,327.5,60.432,3.996,"13,200","4,335",3.2,9.3,3.0,1.263,0.131,150,"3,927"
360,능곡하수처리시설,2019-01-05,맑음,-2.8,14.3,256.8,133.2,182.5,55.311,6.470,"16,500","4,538",2.8,10.1,2.7,1.203,0.323,240,"4,005"
359,능곡하수처리시설,2019-01-06,맑음,-2.7,14.3,318.6,122.0,272.5,60.732,4.827,"9,900","4,659",3.2,9.0,6.3,1.610,0.225,60,"4,184"
358,능곡하수처리시설,2019-01-07,맑음,-1.3,15,174.0,131.8,220.0,55.771,6.925,"4,400","3,957",4.7,9.1,3.9,5.098,0.344,300,"4,243"
357,능곡하수처리시설,2019-01-08,맑음,-2.9,14.7,248.4,154.4,220.0,76.112,7.771,"7,700","3,582",2.3,10.4,5.4,2.195,0.224,180,"3,868"
356,능곡하수처리시설,2019-01-09,맑음,-4.6,14.8,235.2,140.2,147.5,65.618,6.438,"3,300","3,642",2.8,10.5,4.5,3.503,0.334,40,"3,933"
355,능곡하수처리시설,2019-01-10,흐림,-0.9,15.3,296.4,136.6,177.5,76.118,7.733,"2,200","3,580",7.8,10.8,4.1,3.363,0.316,200,"3,868"
354,능곡하수처리시설,2019-01-11,맑음,2.2,15.6,269.4,141.4,182.5,25.016,1.572,"5,500","3,808",6.5,12.4,5.5,1.572,0.497,110,"4,106"
353,능곡하수처리시설,2019-01-12,맑음,2.2,15.1,318.0,133.8,285.0,45.786,8.301,"13,200","3,708",6.0,10.1,5.2,2.414,0.463,200,"3,850"
352,능곡하수처리시설,2019-01-13,맑음,1.3,15,288.6,149.4,205.0,40.822,7.321,"3,300","3,724",6.3,10.4,6.4,2.930,0.296,80,"3,869"
351,능곡하수처리시설,2019-01-14,맑음,1.7,15.3,289.2,129.6,197.5,67.735,4.699,"16,500","4,035",5.0,10.2,6.5,4.442,0.420,200,"4,184"
350,능곡하수처리시설,2019-01-15,맑음,-1.9,15.1,119.4,119.4,182.5,61.868,4.072,"4,400","3,875",7.7,11.6,9.2,3.748,0.600,40,"4,019"
349,능곡하수처리시설,2019-01-16,눈,-4.9,15,151.8,142.4,150.0,106.560,8.040,"11,000","3,404",5.7,11.1,7.2,2.228,0.461,130,"3,551"
348,능곡하수처리시설,2019-01-17,눈,0.6,15.1,201.0,128.2,197.5,70.906,7.574,"19,800","3,675",1.4,9.8,8.2,2.222,0.667,40,"3,813"
