id,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2318,Entire home/apt,9,2.5,4,4,$295.00 ,1,1125,1,2,1125,1125,1,1125,,t,0,0,26,26,2020-10-25,32,4,0,2008-09-15,2020-02-01,100,10,10,10,10,10,10,STR-OPLI-19-002837,f,2,2,0,0,0.22
9419,Private room,2,3,1,2,$55.00 ,2,180,2,2,180,180,2,180,,t,29,59,89,364,2020-10-25,148,2,0,2010-07-30,2019-12-27,93,10,10,10,10,10,10,str-opli-19-003039,f,8,0,8,0,1.19
9531,Entire home/apt,4,1,2,3,$155.00 ,28,1125,28,28,1125,1125,28,1125,,t,0,0,19,294,2020-10-25,40,1,0,2012-01-12,2019-12-30,100,10,10,10,10,10,10,STR-OPLI-19-002182,f,2,2,0,0,0.37
9534,Entire home/apt,3,1,2,2,$125.00 ,5,1125,5,5,1125,1125,5,1125,,t,10,14,40,315,2020-10-25,53,8,0,2012-01-15,2020-08-31,100,10,10,10,10,10,10,STR-OPLI-19-002182,f,2,2,0,0,0.5
9596,Entire home/apt,4,1,1,4,$100.00 ,4,60,4,4,1125,1125,4,1125,,t,0,0,6,6,2020-10-25,97,4,1,2011-06-15,2020-09-28,91,9,9,10,9,10,9,STR-OPLI-19-002622,f,2,2,0,0,0.85
9909,Entire home/apt,4,1,2,2,$81.00 ,30,180,30,30,1125,1125,30,1125,,t,0,10,40,315,2020-10-25,74,1,0,2009-11-03,2019-11-20,96,10,10,10,10,10,10,19-000033,t,6,6,0,0,0.55
10209,Private room,1,2,1,1,$50.00 ,5,730,5,5,730,730,5,730,,t,6,6,29,304,2020-10-25,39,0,0,2009-11-08,2019-08-31,87,8,7,10,9,9,9,STR-OPLI-19-001095,f,3,0,3,0,0.29
11012,Entire home/apt,8,2,3,3,$280.00 ,2,45,2,2,1125,1125,2,1125,,t,16,46,76,166,2020-10-25,96,5,1,2010-01-31,2020-09-27,96,10,9,10,10,10,10,str-opli-19-002622,f,2,2,0,0,0.73
17229,Private room,1,2,1,1,$50.00 ,5,1825,5,5,1825,1825,5,1825,,t,18,48,78,353,2020-10-25,23,0,0,2011-06-19,2019-08-01,89,9,8,10,10,9,9,STR-OPLI-19-001095,f,3,0,3,0,0.2
24212,Entire home/apt,6,1,2,2,$156.00 ,1,365,1,2,365,365,1,365,,t,15,45,75,164,2020-10-25,105,12,0,2010-11-02,2020-09-13,94,10,10,10,10,10,9,STR-OPLI-19-000408,t,27,27,0,0,0.86
25002,Entire home/apt,4,1,1,2,$74.00 ,2,365,2,2,1125,1125,2,1125,,t,22,42,69,159,2020-10-25,822,48,5,2010-04-23,2020-10-20,98,10,10,10,10,10,10,STR-OPLI-19-002617,t,1,1,0,0,6.42
30712,Entire home/apt,3,1,1,1,$67.00 ,7,120,7,7,120,120,7,120,,t,0,0,0,0,2020-10-25,100,5,0,2013-08-07,2020-03-17,88,10,8,10,10,10,10,STR-OPLI-19-002891,f,2,2,0,0,1.14
37234,Entire home/apt,2,1,1,2,$99.00 ,2,21,2,2,21,21,2,21,,t,16,46,76,351,2020-10-25,4,1,0,2016-11-13,2020-06-01,85,10,10,9,8,10,9,STR-OPLI-19-002333,f,2,2,0,0,0.08
41401,Entire home/apt,4,1,1,2,$95.00 ,30,365,30,30,365,365,30,365,,t,0,0,0,146,2020-10-25,28,0,0,2010-08-26,2017-05-06,96,10,10,10,10,9,9,,f,1,1,0,0,0.23
43373,Private room,2,1,1,1,$59.00 ,30,90,30,30,90,90,30,90,,t,1,1,1,119,2020-10-25,272,1,0,2010-08-13,2019-11-15,95,10,10,10,10,10,10,,f,1,0,1,0,2.19
48848,Entire home/apt,2,1,1,1,$80.00 ,5,365,5,5,1125,1125,5,1125,,t,0,0,0,0,2020-10-25,48,5,0,2010-11-05,2020-06-30,99,10,10,10,10,10,10,STR-OPLI-19-002350,f,2,2,0,0,0.4
67270,Private room,2,1,1,1,$70.00 ,2,14,2,2,14,14,2,14,,t,29,59,89,364,2020-10-25,190,2,0,2011-03-09,2020-02-17,96,10,10,10,10,10,10,STR-OPLI-19-001648,f,1,0,1,0,1.62
80655,Entire home/apt,10,2,4,6,$250.00 ,30,90,30,30,90,90,30,90,,t,23,53,83,83,2020-10-25,1,1,0,2020-08-14,2020-08-14,100,10,8,10,10,10,8,,f,1,1,0,0,0.41
86185,Private room,2,1,1,1,$75.00 ,2,7,2,2,7,7,2,7,,t,29,59,89,364,2020-10-25,72,0,0,2011-05-09,2019-09-07,94,10,9,10,10,10,9,STR-OPLI-19-001549,f,1,0,1,0,0.62
